Episode,Reward,Risk,Collisions,LaneChanges,Speed,TTC
100,26.636000000000003,1.0098,1.0,2.5,0.0,0.0
200,24.823,1.0131000000000001,1.0,2.8,0.0,0.0
300,23.750999999999998,1.0138,1.0,3.6,0.0,0.0
400,22.509999999999998,1.0149000000000001,1.0,3.6,0.0,0.0
500,24.020999999999997,1.0264,1.0,4.6,0.0,0.0
600,28.631,1.0227999999999997,1.0,2.2,0.0,0.0
700,22.789,1.0223,1.0,2.1,0.0,0.0
800,28.326,1.0078999999999998,0.9,3.0,0.0,0.0
900,22.747,1.0262999999999998,1.0,1.8,0.0,0.0
1000,27.429000000000002,1.0078,0.9,1.2,0.0,0.0
1100,28.819,0.999,0.8,1.6,0.0,0.0
1200,24.953000000000003,1.0295,1.0,1.2,0.0,0.0
1300,26.137999999999998,1.0041,1.0,1.3,0.0,0.0
1400,22.462,1.0296999999999998,1.0,1.9,0.0,0.0
1500,31.737000000000005,1.0007000000000001,0.8,2.6,0.0,0.0
1600,27.208000000000006,1.0222000000000002,1.0,1.3,0.0,0.0
1700,35.846000000000004,0.9694999999999998,0.7,1.8,0.0,0.0
1800,33.028999999999996,0.9880000000000001,0.7,1.4,0.0,0.0
1900,29.225000000000005,1.0084,0.9,1.1,0.0,0.0
2000,22.872000000000003,1.0318999999999998,1.0,1.0,0.0,0.0
2100,25.872000000000003,1.0173999999999999,0.9,1.2,0.0,0.0
2200,27.761000000000003,1.0181,0.9,1.1,0.0,0.0
2300,27.811,1.0162,0.9,1.3,0.0,0.0
2400,23.525,1.0266,1.0,1.0,0.0,0.0
2500,29.829,1.0029,0.8,1.1,0.0,0.0
2600,29.246999999999996,1.0109,0.9,1.1,0.0,0.0
2700,41.303999999999995,0.9548,0.5,1.6,0.0,0.0
2800,32.143,0.9923,0.7,1.4,0.0,0.0
2900,29.076,1.0015,0.8,1.3,0.0,0.0
3000,36.733000000000004,0.9689999999999998,0.6,1.1,0.0,0.0
3100,29.696000000000005,1.0089,0.9,1.3,0.0,0.0
3200,27.748999999999995,1.0241,1.0,1.0,0.0,0.0
3300,36.106,0.9594000000000001,0.6,1.1,0.0,0.0
3400,25.238999999999997,1.0188000000000001,0.9,1.0,0.0,0.0
3500,25.406000000000002,1.0281999999999998,1.0,1.0,0.0,0.0
3600,33.42100000000001,0.9799999999999999,0.7,1.2,0.0,0.0
3700,29.619,1.0119,0.9,1.0,0.0,0.0
3800,35.288,1.0013,0.8,1.1,0.0,0.0
3900,27.294,1.0203,1.0,1.1,0.0,0.0
4000,28.308999999999997,1.0145,0.9,1.3,0.0,0.0
4100,31.993000000000002,0.9846999999999999,0.7,1.4,0.0,0.0
4200,25.726999999999997,1.0305000000000002,1.0,1.0,0.0,0.0
4300,24.491000000000003,1.0272000000000001,1.0,1.2,0.0,0.0
4400,29.268999999999995,1.0034,0.9,1.1,0.0,0.0
4500,28.308,1.0003,0.8,1.0,0.0,0.0
4600,36.827999999999996,0.9667,0.6,1.0,0.0,0.0
4700,28.53,1.0242999999999998,1.0,1.0,0.0,0.0
4800,27.434999999999995,1.0026,0.8,1.2,0.0,0.0
4900,30.460999999999995,0.9988999999999999,0.8,1.2,0.0,0.0
5000,31.394,1.0002,0.8,1.0,0.0,0.0
5100,26.710999999999995,1.018,0.9,1.0,0.0,0.0
5200,29.055,1.0117,0.9,1.0,0.0,0.0
5300,29.183,1.015,0.9,1.2,0.0,0.0
5400,26.881,1.0023,0.9,1.0,0.0,0.0
5500,29.909000000000002,1.0031,0.8,1.2,0.0,0.0
5600,27.912000000000006,1.0155,0.9,1.2,0.0,0.0
5700,31.075999999999993,0.9887,0.8,1.0,0.0,0.0
5800,27.671000000000003,1.0126,0.9,1.0,0.0,0.0
5900,34.129000000000005,0.9881,0.7,1.8,0.0,0.0
6000,22.51,1.0347,1.0,1.2,0.0,0.0
6100,23.294,1.0373999999999997,1.0,1.0,0.0,0.0
6200,23.154999999999998,1.0326,1.0,1.4,0.0,0.0
6300,27.672999999999995,1.0110999999999999,0.9,1.6,0.0,0.0
6400,26.333,1.0152,0.9,1.0,0.0,0.0
6500,29.202999999999996,1.0227,1.0,1.3,0.0,0.0
6600,24.544,1.0259,1.0,1.1,0.0,0.0
6700,28.916000000000004,1.0087000000000002,0.9,1.4,0.0,0.0
6800,28.873,1.016,0.9,1.4,0.0,0.0
6900,24.946,1.0225,0.9,1.0,0.0,0.0
7000,28.833999999999996,1.0116,0.9,1.0,0.0,0.0
7100,29.690000000000005,1.0115,0.9,1.0,0.0,0.0
7200,31.4,1.0012999999999999,0.8,1.7,0.0,0.0
7300,28.403999999999996,1.0184,0.9,1.0,0.0,0.0
7400,36.61,0.9802,0.7,1.3,0.0,0.0
7500,30.059999999999995,1.0005,0.8,1.0,0.0,0.0
7600,28.369999999999997,1.018,0.9,1.0,0.0,0.0
7700,28.956000000000007,1.005,0.8,1.0,0.0,0.0
7800,27.488999999999997,1.0132999999999999,0.9,1.0,0.0,0.0
7900,34.338,0.9873999999999998,0.7,1.0,0.0,0.0
8000,27.391000000000002,1.0086,0.9,1.2,0.0,0.0
8100,23.896000000000004,1.0265,1.0,1.0,0.0,0.0
8200,32.646,0.9999,0.8,1.4,0.0,0.0
8300,25.687,1.0155999999999998,1.0,1.3,0.0,0.0
8400,29.808,1.0082,0.9,1.8,0.0,0.0
8500,24.67,1.0253999999999999,1.0,1.1,0.0,0.0
8600,21.632,1.0321000000000002,1.0,1.0,0.0,0.0
8700,27.986,1.0101,0.9,1.2,0.0,0.0
8800,27.451999999999998,1.0190999999999997,0.9,1.1,0.0,0.0
8900,30.557,1.0134,0.9,1.1,0.0,0.0
9000,32.083,0.9984000000000002,0.8,1.4,0.0,0.0
9100,31.943,1.012,0.9,1.6,0.0,0.0
9200,32.56,0.9987000000000001,0.8,1.0,0.0,0.0
9300,28.612000000000002,1.0223,1.0,1.1,0.0,0.0
9400,28.032000000000004,1.0106999999999997,0.9,1.1,0.0,0.0
9500,32.160000000000004,1.0012,0.7,1.6,0.0,0.0
9600,23.107,1.0296,1.0,1.0,0.0,0.0
9700,25.365000000000002,1.028,1.0,1.0,0.0,0.0
9800,28.139,1.0219,0.9,1.2,0.0,0.0
9900,24.804000000000002,1.0299999999999998,1.0,1.0,0.0,0.0
10000,25.268,1.0273999999999996,1.0,1.0,0.0,0.0
