Episode,Reward,Risk,Collisions,LaneChanges,Speed,TTC
8800,27.226000000000006,1.0052999999999999,1.0,2.4,0.0,0.0
8900,29.144000000000005,1.0021,1.0,0.8,0.0,0.0
9000,25.470999999999997,1.0011,1.0,0.8,0.0,0.0
9100,24.602,1.0059999999999998,1.0,1.3,0.0,0.0
9200,27.238,1.0027,1.0,0.4,0.0,0.0
9300,27.748,1.0045,1.0,0.5,0.0,0.0
9400,27.601999999999997,1.0033999999999998,1.0,0.0,0.0,0.0
9500,28.923000000000002,1.0188000000000001,1.0,0.8,0.0,0.0
9600,26.512999999999998,1.004,1.0,0.1,0.0,0.0
9700,24.904999999999998,1.0028,1.0,0.4,0.0,0.0
9800,25.935000000000002,0.9939,0.9,0.7,0.0,0.0
9900,24.073,1.0003,1.0,0.1,0.0,0.0
10000,28.252000000000002,1.0012,1.0,0.3,0.0,0.0
10100,26.758,1.002,1.0,0.1,0.0,0.0
10200,24.746999999999996,1.0165,1.0,2.1,0.0,0.0
10300,24.119999999999997,1.0169,1.0,2.1,0.0,0.0
10400,26.223000000000003,1.0204999999999997,1.0,1.4,0.0,0.0
10500,23.844,1.0212999999999999,1.0,1.3,0.0,0.0
10600,27.941000000000003,1.0178,1.0,1.5,0.0,0.0
10700,24.524,1.028,1.0,1.6,0.0,0.0
10800,26.352999999999998,1.0294,1.0,2.3,0.0,0.0
10900,24.438,1.0194,1.0,1.4,0.0,0.0
11000,28.171999999999997,1.0204,1.0,2.2,0.0,0.0
11100,24.212,1.0151999999999999,1.0,2.2,0.0,0.0
11200,28.426,1.0152999999999999,1.0,2.4,0.0,0.0
11300,24.148,1.0208,1.0,2.2,0.0,0.0
11400,26.997999999999998,1.0158,1.0,2.2,0.0,0.0
11500,23.335,1.0238,1.0,4.2,0.0,0.0
11600,28.479000000000003,1.0167,1.0,4.0,0.0,0.0
11700,25.914000000000005,1.0162,1.0,4.0,0.0,0.0
11800,25.808,1.0194999999999999,1.0,4.3,0.0,0.0
11900,26.102999999999998,1.0175,1.0,3.5,0.0,0.0
12000,26.588,1.0184,1.0,2.0,0.0,0.0
12100,28.858000000000004,1.0199999999999998,1.0,1.7,0.0,0.0
12200,25.604999999999997,1.0204,1.0,1.8,0.0,0.0
12300,26.308,1.0175999999999998,1.0,0.9,0.0,0.0
12400,25.576,1.0199,1.0,0.8,0.0,0.0
12500,28.802,1.0164,1.0,1.2,0.0,0.0
12600,28.738999999999997,1.0198,1.0,1.2,0.0,0.0
12700,26.649,1.0199,1.0,1.6,0.0,0.0
12800,27.848000000000003,1.0148999999999997,1.0,3.0,0.0,0.0
12900,28.265000000000008,0.9945999999999999,0.9,0.8,0.0,0.0
13000,26.262999999999998,1.0142000000000002,1.0,2.4,0.0,0.0
13100,25.39,1.0118,1.0,1.5,0.0,0.0
13200,27.865999999999996,1.0065,1.0,1.7,0.0,0.0
13300,24.694,1.0073999999999999,1.0,2.5,0.0,0.0
13400,24.393,1.0063,1.0,0.6,0.0,0.0
13500,26.226,1.0111,1.0,0.3,0.0,0.0
13600,26.869,1.0018,1.0,0.2,0.0,0.0
13700,24.563,1.0033999999999998,1.0,0.0,0.0,0.0
13800,27.824,1.0028000000000001,1.0,0.3,0.0,0.0
13900,28.669,1.0027,1.0,0.0,0.0,0.0
14000,29.026,1.0016,1.0,0.0,0.0,0.0
14100,29.806,1.0028000000000001,1.0,0.1,0.0,0.0
14200,26.651,1.0003,1.0,0.3,0.0,0.0
14300,25.958,1.0053999999999998,1.0,0.3,0.0,0.0
14400,28.201000000000004,1.0013999999999998,1.0,0.2,0.0,0.0
