episode,GE_DQN_smoothed,IDM_lc,DQN_lc,DuelingDQN_lc
17200,1.11684,0,2.11684,1.39295
17300,1.25458,0,2.25458,1.54363
17400,1.32823,0,2.32823,2.11337
17500,1.30534,0,2.30534,2.16233
17600,1.40544,0,2.40544,1.77686
17700,1.2326,0,2.2326,1.93531
17800,1.51071,0,2.51071,1.87558
17900,1.15707,0,2.15707,2.42244
18000,1.74403,0,2.74403,2.02391
18100,1.31513,0,2.31513,1.76775
18200,1.00857,0,2.00857,1.59556
18300,0.95582,0,1.95582,1.45871
18400,1.25649,0,2.25649,1.81403
18500,1.10531,0,2.10531,1.6154
18600,1.2828,0,2.2828,1.47555
18700,1.22465,0,2.22465,1.62402
18800,1.10543,0,2.10543,1.53036
18900,0.94064,0,1.94064,2.07743
19000,0.79703,0,1.79703,1.90966
19100,1.0007,0,2.0007,1.72507
19200,1.25128,0,2.25128,2.01599
19300,1.11282,0,2.11282,1.72881
19400,0.81085,0,1.81085,1.53441
19500,1.08464,0,2.08464,2.00462
19600,1.11706,0,2.11706,1.80112
19700,0.85323,0,1.85323,1.47922
19800,1.05075,0,2.05075,1.64193
19900,1.02164,0,2.02164,1.49821
20000,0.77141,0,1.77141,1.39011
20100,1.06156,0,2.06156,1.84524
20200,1.09216,0,2.09216,2.03522
20300,1.18661,0,2.18661,1.36695
20400,1.17076,0,2.17076,1.75259
20500,0.67447,0,1.67447,1.5032
20600,0.75243,0,1.75243,1.52924
20700,1.03301,0,2.25128,1.50152
20800,1.02276,0,2.11282,1.44054
20900,1.01301,0,1.81085,1.61637
21000,1.67055,0,2.08464,1.43381
21100,1.00418,0,2.25128,1.39011
21200,1.10711,0,2.11282,1.84524
21300,1.0608,0,1.81085,2.03522
21400,0.99028,0,2.25128,1.36695
21500,0.78695,0,2.11282,1.75259
21600,0.99179,0,1.81085,1.5032
21700,0.67543,0,2.08464,1.52924
21800,0.77264,0,2.25128,1.50152
21900,0.71293,0,2.11282,1.44054
22000,0.81637,0,1.81085,1.61637
22100,1.25293,0,2.08464,1.43381
22200,0.40655,0,2.11706,1.39011
22300,0.90725,0,1.85323,1.84524
22400,0.43746,0,2.05075,2.03522
22500,0.65561,0,2.02164,1.36695
22600,0.95779,0,1.77141,1.75259
22700,0.74286,0,2.06156,1.5032
22800,0.50445,0,2.09216,1.52924
22900,0.56694,0,2.18661,1.50152
23000,0.83592,0,2.17076,1.44054
23100,0.54393,0,1.67447,1.61637
23200,0.72329,0,1.75243,1.43381
23300,0.67911,0,2.03301,1.64742
23400,0.52968,0,2.02276,1.57662
23500,1.07879,0,2.01301,1.53221
23600,0.76678,0,1.76678,1.39182
23700,0.22497,0,1.22497,1.45131
23800,0.65729,0,1.65729,1.71108
23900,0.47764,0,1.47764,1.60793
24000,0.77049,0,1.77049,1.28462
24100,0.4315,0,1.4315,1.56047
24200,0.55705,0,1.55705,1.16073
24300,0.671,0,1.671,1.48596
24400,0.73315,0,1.73315,1.39011
24500,0.30994,0,1.30994,1.84524
24600,0.4731,0,1.4731,2.03522
24700,0.43501,0,1.43501,1.36695
24800,0.38933,0,1.38933,1.75259
24900,0.86309,0,1.86309,1.5032
25000,0.581,0,2.25128,1.52924
25100,1.08,0,2.11282,1.50152
25200,1.43,0,1.81085,1.44054
25300,0.69,0,2.08464,1.61637
25400,1.4,0,2.11706,1.43381
25500,1.22,0,1.85323,1.64742
25600,0.73,0,2.05075,1.57662
25700,0.47,0,2.02164,1.53221
25800,1.04,0,1.77141,1.39182
25900,0.94,0,2.06156,1.45131
26000,0.6,0,2.09216,1.71108
26100,1.06,0,2.18661,1.31795
26200,0.7,0,2.17076,1.66841
26300,1,0,1.67447,1.42089
26400,0.9,0,1.75243,1.39011
26500,1.44,0,2.25128,1.84524
26600,1.4,0,2.11282,2.03522
26700,1.1,0,1.81085,1.36695
26800,1.2,0,2.08464,1.75259
26900,0.71,0,2.25128,1.5032
27000,1.1,0,2.11282,1.52924
27100,1.21,0,1.81085,1.50152
27200,0.88,0,2.08464,1.44054
27300,1.13,0,2.11706,1.61637
27400,0.83,0,1.85323,1.43381
27500,1.47,0,2.05075,1.64742
27600,0.89,0,2.02164,1.57662
27700,0.44,0,1.77141,1.53221
27800,1.13,0,2.06156,1.39182
27900,1.16,0,2.09216,1.45131
28000,1.42,0,2.25128,1.71108
28100,1.49,0,2.11282,1.19437
28200,1.3,0,1.81085,1.39011
28300,1.23,0,2.08464,1.84524
28400,0.97,0,2.11706,2.03522
28500,1.03,0,1.85323,1.36695
28600,0.56,0,2.05075,1.75259
28700,0.57,0,2.02164,1.5032
28800,1.09,0,1.77141,1.52924
28900,0.82,0,2.06156,1.50152
29000,0.72,0,2.09216,1.44054
29100,1.5,0,2.18661,1.61637
29200,1.04,0,2.17076,1.39011
29300,0.64,0,2.25128,1.84524
29400,1.19,0,2.11282,2.03522
29500,1.08,0,1.81085,1.36695
29600,1.1,0,2.08464,1.75259
29700,1.01,0,2.11706,1.5032
29800,1.22,0,1.85323,1.52924
29900,0.61,0,2.05075,1.50152
30000,0.69,0,2.02164,1.44054
