episode,avg_speed,avg_accel,avg_gap,avg_risk,avg_lane_change,episode_reward
10200,22.389528370500003,-0.8143093834699999,0.0,0.37927688310999996,1.01,74.4365934098
10300,21.5299400978,-0.63015615671,0.0,0.65068757196,2.09,103.7695057244
10400,22.4097843045,-0.77754741955,0.0,0.36722680809,1.53,77.2533479735
10500,22.6894922687,-0.79015890294,0.0,0.17193621792,1.53,71.87261521170001
10600,22.7417729778,-0.80369226563,0.0,0.17801448511,1.97,70.2704362797
10700,21.8056871494,-0.70169991951,0.0,0.60010862328,0.9,92.3338745252
10800,22.1460161501,-0.7356685971100001,0.0,0.42504120280999996,2.04,83.4801351103
10900,22.4527631064,-0.81066654922,0.0,0.42030985872000004,1.73,75.27718501780001
11000,22.460597531399998,-0.7570113827599999,0.0,0.3522898774,1.81,77.6243350983
11100,22.3776944957,-0.76501305625,0.0,0.37524244798,2.33,77.8480186699
11200,22.5888485071,-0.74197671378,0.0,0.29797593414999995,1.6,74.38505133609999
11300,22.9572836869,-0.83927869764,0.0,0.14419343057,2.49,65.03403438309999
11400,22.5479889291,-0.7870450793,0.0,0.25883424609,3.16,72.8782255944
11500,22.650287655699998,-0.76609170963,0.0,0.21287303469000002,2.45,73.0719165349
11600,22.5411562391,-0.78616897424,0.0,0.23432400525,1.85,73.5205312396
11700,22.247493857600002,-0.70951676437,0.0,0.36613816958999995,1.4,80.8238319125
11800,22.343898712199998,-0.7382000355799999,0.0,0.27768270317,2.02,76.4001718503
11900,22.528460436099998,-0.7640959907,0.0,0.32267625133000005,1.44,73.8995626451
12000,22.5240047744,-0.74860834037,0.0,0.32586338614,1.06,76.1620322201
12100,22.7397980534,-0.7596819129400001,0.0,0.24446730262,1.08,70.8619348479
12200,22.7267123021,-0.77388850859,0.0,0.20973716441,2.37,71.0218107666
12300,22.856236347899998,-0.8341942054499999,0.0,0.10979849019,2.09,66.9886424359
12400,22.7126334531,-0.79271631603,0.0,0.18176520922999997,1.77,70.59684470090001
12500,22.958529627399997,-0.86925355889,0.0,0.16624735468000001,2.35,63.458330136
12600,22.7052860658,-0.8042516750900001,0.0,0.16628569492,2.87,70.41974705540001
12700,23.0158001421,-0.8755535636899999,0.0,0.025097569179999998,1.95,63.5354795624
12800,22.930649354699998,-0.83810340943,0.0,0.01769069249,2.48,66.679939463
12900,23.0414509975,-0.86345904694,0.0,0.00792726206,2.47,62.8477549085
13000,23.022372408000003,-0.86229413717,0.0,0.01024483929,2.89,63.1508358374
13100,22.904189073399998,-0.81932555064,0.0,0.07424430818,2.18,67.1689972535
13200,22.5601312444,-0.7675372582900001,0.0,0.20893431848,2.92,75.7869325832
13300,22.603860489200002,-0.7709102894800001,0.0,0.12850497832,3.98,75.21121856730001
13400,22.7511676747,-0.7893751747100001,0.0,0.13370108057,2.86,70.4629633879
13500,22.642501820299998,-0.80512742808,0.0,0.25547064826,3.56,71.59933768030001
13600,22.244910280200003,-0.77771035908,0.0,0.40396616429,3.55,79.9016792136
13700,22.216181312099998,-0.71768999916,0.0,0.45978324017,3.04,83.6631740011
13800,22.5601162938,-0.78183165,0.0,0.38468497538,2.39,74.0647119955
13900,22.7742916717,-0.86539294279,0.0,0.14977373588,3.54,64.9367207558
14000,22.601039235899997,-0.7916102497999999,0.0,0.17718050034000002,3.84,71.3988759392
14100,22.3346807217,-0.8034399911200001,0.0,0.10044606539,3.1,77.6901048851
14200,22.4356476563,-0.79734891955,0.0,0.17769332541000002,4.09,74.3894144434
14300,22.8206610134,-0.8363754996,0.0,0.1250822167,3.74,66.8760352742
14400,22.155945444300002,-0.72234085483,0.0,0.44759052605,2.91,82.0434538337
